1361	When I woke up, I was sad.	557299	Nuair a dhúisigh mé, bhí brón orm.
1395	I have to go to bed.	3132604	Caithfidh mé dul a chodladh.
1434	I love you.	557579	Táim i ngrá leat.
1434	I love you.	934942	Tá grá agam duit.
1557	You're an angel!	3561617	Is aingeal thú!
1630	I have a dream.	3602448	Tá aisling agam.
1712	I have a headache.	625540	Tá tinneas cinn orm.
1758	I am married and have two children.	3103429	Tá mé pósta agus tá beirt pháistí agam.
1813	It's cold.	2134764	Tá sé fuar.
1814	I'm thirsty.	2714581	Tá tart orm.
1860	I don't want to go to school.	3467099	Níor mhaith liom dul ar scoil.
1862	It is raining.	1345257	Tá sé ag cur.
2168	Where are you?	3604033	Cá bhfuil tú?
2168	Where are you?	3604034	Cá bhfuil sibh?
2311	I love trips.	625729	Is breá liom turais.
2319	I don't know him.	3601086	Níl aithne agam air.
15909	Are you meeting someone here?	752751	An bhfuil tú ag bualadh le duine éigin anseo?
16255	What are you looking for?	3335788	Cad tá uait?
16492	What are you doing?	628166	Cad atá tu ag déanamh?
16723	You've drunk three cups of coffee.	631405	Tá trí cupán caife ólta agat.
17151	Do you eat rice in your country?	3561616	An itheann tú rís i do thír féin?
18543	He may be rich, but he is stingy.	3561611	D'fhéadfadh sé a bheith saibhir, ach tá sé ceachartha.
18551	There is a gold coin.	3603001	Tá bonn óir ann.
18570	Health is better than wealth.	3601114	Tá sláinte níos fearr ná saibhreas.
19122	Education starts at home.	557533	Tosaíonn an t-oideachas sa bhaile.
22212	Neptune is the eighth planet of the solar system.	3105614	Is é an Neiptiún t-ochtú pláinéad an ghrianchórais.
25602	There is a yellow rose.	3603002	Tá rós buí ann.
26155	London, the capital of England, is on the Thames.	625521	Tá Londan, príomhchathair Shasana, suite ar an Tamais.
26207	English is difficult to learn.	3600006	Tá an Béarla deacair a fhoghlaim.
26260	English is the world's language.	3391345	Is teanga an domhain é an Béarla.
26296	Is English spoken in Canada?	626921	An labhraítear an Béarla i gCeanada?
28370	Haven't we met before?	557620	Nár bhuaileamar riamh?
28974	I'm from Kyoto.	2714641	Is as Kiótó mé.
29056	I am more beautiful than you.	626918	Táim níos áille ná tusa.
29846	The lion is the king of the jungle.	3057176	Is é an leon rí na dufaire.
30316	Hi! How are you?	3561609	Fáilte! Conas atá tú?
31236	I wish I were a little taller.	3601108	Is mian liom go raibh tú beagán níos airde.
