,English,Gaeilge
0,The papers and the machine are sitting there.,Tá na páipéir agus an mheaisín ina suí.
1,It's cold in winter.,Bíonn sé fuar sa Gheimhreadh.
2,I am looking for a new job.,Tá mé ag lorg post nua.
3,That song was on the radio yesterday.,Bhí an t-amhrán sin ar an raidió inné.
4,The water is coming down the wall.,Tá an t-uisce ag teacht ar an mballa.
5,He's in luck.,Tá an t-ádh dearg leis.
6,They are cleaning the rooms.,Tá siad ag glanadh na seomraí.
7,That book is very interesting.,Tá an leabhar sin an-suimiúil.
8,He's trying to do better.,Tá sé ag iarraidh iarracht níos fearr a dhéanamh.
9,Everyone is waiting for this series.,Tá na daoine go léir ag fanacht leis an tsraith seo.
10,The first impression is important.,Tá an chéad fhéachaint tábhachtach.
11,There's no one else in the room.,Níl aon duine eile sa seomra.
12,They are working hard.,Tá siad ag obair go dian.
13,They are looking forward to going out at the weekend.,Tá siad ag súil le dul amach ar an deireadh seachtaine.
14,It's a long journey.,Is fada an turas é.
15,The house is too crowded.,Tá an teach róthapaí.
16,The house is at the table.,Tá an teach ag an mbord.
17,The Olympic games are taking place this year.,Tá na cluichí olympacha ar siúl i mbliana.
18,I love that food.,Is aoibhinn liom an bia sin.
19,It's not easy for him to be comfortable.,Níl sé deacair a bheith compordach leis.
20,We're in luck.,Tá an t-ádh linn.
21,This house is too crowded.,Tá an teach seo róthapaí.
22,It's okay.,Tá sé go maith.
23,The goal is to achieve it.,Tá an sprioc ann a bhaint amach.
24,It's approaching the deadline.,Tá sé ag druidim leis an gcinniúint.
25,All these places are very interesting.,Tá na háiteanna seo ar fad an-suimiúil.
26,The water is dry.,Tá an t-uisce tirim.
27,It's cold today.,Tá sé fuar inniu.
28,It's difficult to improve that.,Tá sé deacair an rud sin a dheisiú.
29,That's what happened.,Is é sin an rud a tharla.
30,That work is done.,Tá an obair sin réidh.
31,It's hard to understand.,Tá sé deacair a thuiscint.
32,The length is there.,Tá an fhaid ann.
33,The TV is broken.,Tá an teilifís briste.
34,This road is boring.,Tá an bhóthar seo leadránach.
35,The climate is warm.,Tá an t-aeráid te.
36,The leaves are falling.,Tá na duilleoga ag titim.
37,The room is dark.,Tá an seomra dorcha.
38,The market is going downhill.,Tá an mhargadh ag dul i léig.
39,The other part of the cinema is closed.,Tá an chuid eile den phictiúrlann dúnta.
40,This place is secret.,Tá an áit seo rúnda.
41,That question is just coming to me.,Tá an cheist sin díreach ag teacht chugam.
42,That search is hard.,Tá an cuardach sin crua.
43,He's lucky.)Tá an ghrian ag taitneamh inniu,Tá an t-ádh leis.
44,I love concerts.,Is breá liom ceolchoirmeacha.
45,It's wonderful that you're here.,Tá sé go hiontach go bhfuil tú anseo.
46,I'm not sure about that.,Níl mé cinnte faoi sin.
47,Do you like to dance?,An maith leat damhsa?
48,I love tea.,Is breá liom tae.
49,It's cold today.,Tá an aimsir fuar inniu.
50,I am learning Irish.,Tá mé ag foghlaim Gaeilge.
51,We are looking forward to the weekend.,Táimid ag tnúth leis an deireadh seachtaine.
52,Where do you live?,Cá bhfuil tú i do chónaí?
53,I ate my dinner.,D'ith mé mo dhinnéar.
54,He spoke smoothly with me.,Labhair sé go réidh liom.
55,They took care of the house.,Thug siad aire don teach.
56,I wrote a letter to my friend.,Scríobh mé litir chuig mo chara.
57,I dressed up for the occasion.,Ghléas mé suas don ócáid.
58,I hurried to catch the bus.,Rinne mé deifir chun an bus a fháil.
59,He was listening to music.,Bhí sé ag éisteacht le ceol.
60,I saw the movie last night.,Chonaic mé an scannán aréir.
61,They expressed their opinion about the story.,Dúirt siad a n-ionchúis faoin scéal.
62,He left the room behind him.,D'fhág sé an seomra ina diaidh.
63,I bought something in the shop.,Cheannaigh mé rud éigin sa siopa.
64,They went out for a walk in the garden.,Chuaigh siad amach ag siúl sa ghairdín.
65,They took the boxes out of the bathroom.,Thóg siad na boscaí amach ón seomra folctha.
66,I called my brother.,Chuir mé glaoch ar mo dheartháir.
67,They left a message for me at my address.,D'fhág siad teachtaireacht dom ar mo sheoladh.
68,I enjoyed the lecture yesterday.,Bhain mé taitneamh as an léacht inné.
69,She was walking on the way home.,Bhí sí ag siúl ar an mbealach abhaile.
70,They asked me a question about my studies.,Chuir siad ceist orm faoi mo chuid staidéir.
71,He took a glass of water and drank it.,Thóg sé gloine uisce agus d'ól sé é.
72,They took part in the competition.,Ghlac siad páirt sa chomórtas.
73,They came back late from the shop.,Tháinig siad ar ais go mall ón siopa.
74,He visited his friends.,Chuaigh sé ar cuairt chuig a chairde.
75,They went to the cinema.,Chuaigh siad go dtí an phictiúrlann.
76,He bought a new trash can.,Cheannaigh sé bosca bruscair nua.
77,I was playing football with my friends.,Bhí mé ag imirt peile le mo chairde.
78,I presented that story to the principal.,Chuir mé an scéal sin faoi bhráid an phríomhoide.
79,They decided to visit England.,Bheartaigh siad dul ar cuairt go Sasana.
80,The music was beautiful.,Bhí an cheol go hálainn.
81,I learned that song in music class.,D'fhoghlaim mé an amhrán sin i rang ceoil.
